index,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATin,1.019349092,0.903715346,0.884449598,1.106769595,0.924108074,0.879291304,0.899826436,0.920109663,0.894535408,1.167724094,0.913541151,0.881245675,0.93506757,0.890649039,0.923097155,0.907245515,0.910569137,1.005440717
ATout,1.159076245,1.161868184,1.005216487,1.269133559,1.0305043,1.026783799,0.97813484,1.051967217,1.015834164,0.983818309,1.054184412,0.954152602,1.045508838,0.977208898,0.996529343,1.032407751,0.996039058,1.136750719
DI,0.910267855,0.785705166,0.778051418,0.963974904,0.791183896,0.764032286,0.760006969,0.796988237,0.779918073,1.029062982,0.811720619,0.750317083,0.793506312,0.790030675,0.794694672,0.803255168,0.790364286,1.04942972
ET,0.650811576,0.580719844,0.578533994,0.612412422,0.587126784,0.57022518,0.57210128,0.580075374,0.575141855,0.578302913,0.606731515,0.583920287,0.602839852,0.573359047,0.564398869,0.579503761,0.570532708,0.782176041
HI,1.175321923,1.045842554,1.025122261,1.259914911,1.064278446,1.016803061,1.017489733,1.092983307,1.063881248,1.069632047,1.141306814,0.977665727,1.078578955,1.122111762,1.108716623,1.047761866,1.004745012,1.181382276
HMI,1.276743408,1.140854206,1.0745045,1.32087233,1.156998688,1.092276193,1.096237918,1.08926906,1.115971739,1.439135177,1.129490795,1.057683146,1.174938811,1.105181016,1.09284774,1.097280989,1.061198357,1.535989381
MDI,1.004741321,0.86095413,0.889796024,0.89357462,0.903337556,0.835230991,0.830386262,1.14717139,0.88261922,1.167470407,1.157625285,0.797174466,1.076084578,0.882415584,0.839079519,1.147387117,0.841032958,1.086173314
SAT,1.037444342,0.912272711,0.929172746,0.998153811,0.983943376,0.889583735,0.892549202,0.914452477,0.91904704,0.926456774,0.938910051,0.883188399,0.947072902,0.890709198,0.919771339,0.939255988,0.913386552,1.059130829
sWBGT,0.769319885,0.700499562,0.65235403,0.708195059,0.739155125,0.67479469,0.670772248,0.658945607,0.670525623,0.69374054,0.747412224,0.679635959,0.723588711,0.7251071,0.698486063,0.696759891,0.633169784,0.69496238
WBT,0.912943461,0.773710185,0.793132908,0.940865835,0.800689477,0.74800516,0.752110626,0.770612049,0.764528212,0.763031124,0.782678356,0.970552234,0.769637963,0.778194273,0.870626699,0.76952798,0.729880541,0.932635736
NET,1.770501961,1.494770602,1.458019586,1.419333024,1.409902111,1.40043504,1.357550174,1.331195587,1.268536698,1.429588904,1.315078761,1.25609981,1.30814558,1.348175931,1.251183722,1.269847728,1.164140578,1.326737102
WCT,1.483212904,1.209838144,1.28682305,1.325475672,1.191860063,1.174156051,1.133785629,1.135601566,1.070541415,1.1094077,1.126407434,1.03261384,1.11363887,1.109635083,1.089084358,1.095200918,1.040665818,1.188474087
