index,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATin,0.986103486,0.989082561,0.99023632,0.98334236,0.987913307,0.989153457,0.99003698,0.990036951,0.990822239,0.985039448,0.990324155,0.989319482,0.987770257,0.990429655,0.989566503,0.99096809,0.988940918,0.986249306
ATout,0.984899442,0.98574583,0.989574269,0.981740375,0.987452835,0.987832821,0.990199492,0.989378184,0.990162344,0.99081269,0.989455362,0.989547318,0.987313152,0.990312717,0.989765714,0.990278227,0.988952259,0.985455488
DI,0.986218426,0.98985691,0.990733434,0.984472669,0.988925886,0.990145093,0.991122543,0.990750854,0.991561693,0.985667771,0.990630334,0.990372477,0.98887408,0.990596525,0.990471719,0.991233908,0.989340156,0.981704442
ET,0.983257913,0.986797252,0.988119515,0.985044781,0.985587669,0.986536823,0.988250532,0.988208436,0.988964448,0.988915234,0.98743061,0.986211945,0.985128864,0.988156852,0.988124605,0.989059766,0.98714436,0.975692072
HI,0.982755622,0.986716499,0.988514091,0.980464253,0.984843014,0.986839485,0.988187123,0.987502185,0.988355512,0.988219214,0.986465981,0.987821626,0.98527096,0.986293904,0.985845792,0.989442073,0.987694617,0.982482214
HMI,0.987221525,0.989714613,0.991068612,0.985418562,0.988833592,0.989970891,0.991006749,0.99158739,0.99137619,0.986337657,0.991330107,0.990793306,0.988653017,0.991335008,0.991219016,0.992086071,0.990882634,0.981646769
MDI,0.986652382,0.990263487,0.990368824,0.988867182,0.988623778,0.990627219,0.991456581,0.985476502,0.991434007,0.985240808,0.985457646,0.991244088,0.984532706,0.990680573,0.991413112,0.986075583,0.990172332,0.984358291
SAT,0.983136057,0.987182596,0.988047618,0.984437574,0.984182138,0.987110908,0.988717261,0.988482804,0.989014883,0.988878225,0.988033134,0.987457376,0.985536215,0.988662536,0.9877955,0.988901926,0.98708885,0.982149033
sWBGT,0.987470756,0.989531282,0.990948588,0.988236952,0.987883759,0.989626519,0.990798312,0.991683923,0.991460808,0.99095862,0.990037002,0.989874215,0.988399162,0.990212367,0.990401464,0.991408958,0.991090706,0.98931088
WBT,0.985638441,0.989832804,0.989802128,0.98412116,0.988260239,0.990213345,0.990686018,0.99096125,0.991484679,0.991059387,0.990961809,0.983826254,0.988901783,0.990534042,0.988232974,0.991359583,0.989883572,0.984770384
NET,0.956321584,0.969961777,0.972810979,0.971066306,0.971211404,0.971264597,0.97662931,0.979259177,0.980354957,0.976753541,0.980444437,0.977396405,0.976383395,0.978202529,0.980094308,0.981318118,0.98057962,0.976329073
WCT,0.967060181,0.978742042,0.980133147,0.975464293,0.979433488,0.981062079,0.985435638,0.986312491,0.988572249,0.988059358,0.987115145,0.987052924,0.984981682,0.986934341,0.987180869,0.98866974,0.987311524,0.983189753
