,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
316836,54531.0,118.72,39.73,2014,11,13,-0.1800689351972464,-0.1563150574705452,0.0237538777267011
70512,54437.0,118.62,39.5,2005,11,10,7.4262299201064925,8.098978733715429,0.6727488136089343
104461,54732.0,118.52,37.87,2006,11,25,7.300647007328163,-0.3233663114104402,-7.624013318738602
469621,54410.0,116.13,40.6,2020,5,8,7.078108601553668,9.03548385905454,1.9573752575008712
180597,54628.0,117.48,38.15,2009,7,13,27.49525951024181,27.72075440931703,0.2254948990752225
4320,53790.0,114.6,37.63,2003,8,25,28.84089773982311,27.695419700061265,-1.1454780397618478
272150,54914.0,116.08,35.42,2012,12,15,-0.6620324529095143,-1.5501362631760898,-0.8881038102665755
461928,58034.0,118.32,34.6,2019,8,8,32.46622320081851,32.26190875121134,-0.2043144496071747
109056,54900.0,115.02,35.7,2006,4,29,17.79440880446186,22.31936000703768,4.524951202575816
106787,54820.0,115.2,36.82,2006,12,11,-0.7070186251505071,-1.0255877995438465,-0.3185691743933392
486779,58025.0,117.73,34.57,2020,3,16,7.759446132057687,7.194814980881603,-0.5646311511760862
456777,54900.0,115.02,35.7,2019,1,30,-0.4865361540661956,-0.8242036147277914,-0.3376674606615957
478520,54752.0,120.77,37.8,2020,3,31,6.870655645334624,6.887514268395887,0.016858623061263
341313,54452.0,119.8,40.8,2015,3,2,-1.9271613134430048,-3.903172748768754,-1.9760114353257496
397089,54610.0,116.1,38.73,2017,3,24,3.0996354571582967,4.361914856627012,1.2622793994687151
99143,54541.0,119.23,39.9,2006,12,10,-5.904043537661155,-5.229869548098983,0.6741739895621714
61591,58024.0,117.58,34.87,2004,2,20,6.495731710950588,7.550266600316876,1.0545348893662876
112194,57085.0,113.33,34.53,2006,5,8,22.340564834870488,21.851128204388782,-0.4894366304817019
217573,57094.0,114.22,34.4,2010,3,3,1.2401374611058509,1.926085714625556,0.6859482535197052
396145,54541.0,119.23,39.9,2017,1,10,-6.967916764205393,-6.945918132907287,0.0219986312981053
328212,54939.0,118.82,35.17,2014,8,9,25.28663188232272,25.229321166626644,-0.0573107156960723
481972,54857.0,120.33,36.07,2020,2,2,0.2384748427744796,-0.022625882066827,-0.2611007248413066
87204,53491.0,114.38,40.68,2006,10,2,15.56321908828992,15.289886640430543,-0.2733324478593761
