,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
247880,58034.0,118.32,34.6,2011,4,30,17.64568,18.35149076820998,0.7058107682099823
240787,54832.0,118.8,36.87,2011,5,21,13.00864,14.590312771840107,1.5816727718401076
131381,54712.0,116.82,37.2,2007,7,15,19.53716,19.51356978717568,-0.0235902128243203
313114,54404.0,115.83,40.88,2014,1,2,0.2408799999999997,2.126165721669364,1.885285721669364
8709,54398.0,116.62,40.13,2003,7,2,19.6844,18.92627692158839,-0.7581230784116109
246447,58005.0,115.53,34.43,2011,1,22,4.44284,2.931389335668538,-1.5114506643314622
143109,58044.0,119.23,34.55,2007,3,9,7.94212,8.491017549596346,0.5488975495963464
89430,53698.0,114.35,38.07,2006,9,19,19.06108,17.828909378914357,-1.2321706210856471
235092,54636.0,116.1,39.02,2011,6,10,20.657120000000003,20.67941331472012,0.0222933147201196
102261,54702.0,115.7,37.73,2006,1,13,3.28384,2.661345679024337,-0.622494320975663
45622,54530.0,117.77,39.23,2004,3,19,8.326,7.512333559753992,-0.8136664402460081
118295,53695.0,114.68,38.35,2007,6,23,19.1396,18.66301488109645,-0.4765851189035466
323379,54811.0,116.62,36.93,2014,4,29,13.813720000000002,15.012096064223948,1.1983760642239485
258664,54499.0,116.22,40.22,2012,3,15,6.49108,6.8246853555888976,0.3336053555888973
35971,53689.0,115.07,38.02,2004,1,16,2.242560000000001,2.6978279974844765,0.4552679974844756
242899,54910.0,116.05,35.82,2011,9,29,14.399439999999998,14.801648927511652,0.4022089275116585
480095,54820.0,115.2,36.82,2020,5,10,15.731180000000002,15.6300809341968,-0.1010990658032024
410001,58015.0,116.33,34.45,2017,11,7,12.89248,11.674316644210654,-1.2181633557893452
198689,53899.0,114.97,36.48,2010,5,16,14.1314,14.593296659284205,0.4618966592842071
429794,54822.0,117.73,36.87,2018,12,13,2.446736,2.9601638654391063,0.5134278654391058
345890,54623.0,117.72,39.05,2015,3,22,8.09164,9.553885917960583,1.4622459179605831
167650,53484.0,113.15,40.45,2009,9,16,14.481279999999998,14.383495686515785,-0.0977843134842135
78020,54800.0,115.25,37.0,2005,2,2,0.8156400000000001,1.2246538199168209,0.4090138199168209
17091,54626.0,115.82,38.42,2003,8,20,19.72048,19.687488048120137,-0.0329919518798611
43207,54438.0,118.88,39.88,2004,4,23,11.63728,14.337489385958955,2.7002093859589547
185276,54819.0,116.8,36.18,2009,5,8,18.8374,19.64294448994957,0.8055444899495718
387746,53784.0,114.78,37.75,2017,2,1,2.6696000000000004,2.7560028038293023,0.0864028038293018
198656,53899.0,114.97,36.48,2010,12,17,4.84912,4.598999571753431,-0.2501204282465679
112760,57093.0,114.82,34.85,2006,11,3,14.76476,14.126128849462694,-0.638631150537309
231613,54525.0,117.28,39.73,2011,3,5,7.472760000000001,7.911313397751519,0.4385533977515194
45707,54531.0,118.72,39.73,2004,6,9,20.31392,19.545652316323928,-0.7682676836760685
342748,54520.0,117.08,39.97,2015,2,15,5.40608,5.565970527154128,0.1598905271541273
214237,54902.0,115.15,35.95,2010,3,2,5.20288,3.4045257638128965,-1.7983542361871043
56351,54904.0,115.52,35.58,2004,11,20,7.1794,7.823269159613438,0.6438691596134367
213075,54835.0,118.55,36.5,2010,12,17,3.844,3.604193905918172,-0.2398060940818278
73558,54605.0,115.93,38.93,2005,11,19,6.545999999999999,5.729114009408916,-0.816885990591083
45949,54534.0,118.1,39.65,2004,4,19,16.1348,16.360638004337524,0.2258380043375254
248542,58049.0,119.8,34.02,2011,5,30,18.34016,18.99507150537932,0.6549115053793138
273933,57081.0,113.43,34.8,2012,3,12,6.80512,6.843738324945218,0.0386183249452196
306693,53498.0,115.03,40.57,2014,11,5,7.7824,7.611769865460256,-0.1706301345397438
288531,54517.0,117.2,39.07,2013,1,26,2.38668,2.327650159840968,-0.0590298401590319
456212,54844.0,119.18,36.42,2019,6,16,18.900928,19.845168869831703,0.9442408698317024
406858,54922.0,117.75,35.87,2017,6,6,13.8208,14.513224194756978,0.6924241947569776
378743,54900.0,115.02,35.7,2016,5,2,15.29536,16.457506722613402,1.1621467226134057
134950,54821.0,117.2,37.0,2007,5,17,16.665760000000002,16.38953793954379,-0.2762220604562096
112921,57096.0,114.78,34.53,2006,3,19,9.628,10.437059043184629,0.8090590431846287
384672,58116.0,116.87,34.03,2016,4,14,17.38036,15.883341103749077,-1.497018896250923
92196,53896.0,114.95,36.33,2006,3,12,4.327000000000001,6.219627380396013,1.8926273803960123
352086,54834.0,118.28,36.87,2015,10,9,14.284,13.12665772579026,-1.157342274209741
261429,54597.0,115.73,39.73,2012,3,28,9.6946,11.285783140113828,1.5911831401138272
64283,53681.0,113.37,38.83,2005,1,23,-1.7136799999999992,-0.8324181172884985,0.8812618827115007
273271,54935.0,118.43,35.53,2012,10,8,14.977,15.04370545375158,0.0667054537515792
143874,53488.0,113.58,40.03,2008,12,2,1.72416,2.3238135777028326,0.5996535777028327
170612,53786.0,113.33,37.08,2009,6,8,16.50208,14.766273155297329,-1.7358068447026724
354099,54911.0,116.4,35.93,2015,1,22,3.3644000000000003,4.009436381168556,0.6450363811685561
424296,54618.0,116.55,38.08,2018,11,27,7.00672,7.551111874632276,0.544391874632276
65524,53782.0,113.62,37.93,2005,4,9,7.9540000000000015,9.284961980890932,1.3309619808909314
58198,54932.0,118.65,35.77,2004,4,16,15.2972,16.135045356221312,0.8378453562213082
