,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
483435,54922.0,117.75,35.87,2020,5,11,15.50194444444445,16.480500570224645,0.9785561257801962
125358,54501.0,115.68,39.97,2007,3,20,1.9311111111111103,0.5927747574033853,-1.338336353707725
368225,54499.0,116.22,40.22,2016,3,19,8.241666666666667,8.588906253514077,0.3472395868474098
367943,54452.0,119.8,40.8,2016,12,29,-13.057222222222224,-12.806514988281954,0.2507072339402701
15340,54606.0,115.73,38.23,2003,11,20,3.916666666666665,3.4645572726871814,-0.4521093939794838
141349,58006.0,115.88,34.38,2007,11,15,7.179444444444445,4.612878434427197,-2.5665660100172483
474241,54610.0,116.1,38.73,2020,4,7,11.782555555555556,10.91134857444186,-0.871206981113696
124716,54436.0,118.95,40.42,2007,5,14,18.645,21.44668893834424,2.801688938344242
369465,54523.0,117.07,39.43,2016,4,7,16.62222222222222,15.414589915044356,-1.2076323071778656
357424,58004.0,115.15,34.65,2015,12,8,4.5616666666666665,3.0009823967681317,-1.5606842698985348
23637,54823.0,117.0,36.6,2003,7,25,35.52997874444458,34.56518578820466,-0.9647929562399185
475967,54700.0,115.93,38.03,2020,5,23,21.6525,22.85056748094212,1.1980674809421217
483403,54921.0,116.33,35.42,2020,8,9,32.06914840155564,34.36035715790075,2.2912087563451142
311847,53984.0,113.47,35.23,2014,12,26,-2.0849999999999977,-1.5554220976617352,0.5295779023382632
390688,53986.0,113.88,35.32,2017,4,3,17.271111111111118,15.97608844659048,-1.2950226645206389
37445,53789.0,114.63,37.88,2004,3,4,2.2438888888888897,3.2609733933226366,1.017084504433747
315344,54505.0,116.1,39.93,2014,7,20,36.26964304609782,34.37439377170607,-1.895249274391752
1592,53593.0,114.57,39.83,2003,3,7,-2.299444444444444,-3.3411633965754133,-1.04171895213097
271858,54911.0,116.4,35.93,2012,4,1,12.404999999999996,10.653623222112248,-1.7513767778877476
326263,54904.0,115.52,35.58,2014,12,31,-2.3966666666666687,-1.9236742800318416,0.4729923866348271
208962,54719.0,116.68,38.03,2010,8,26,24.58166666666667,24.56348606232388,-0.0181806043427883
478537,54752.0,120.77,37.8,2020,12,27,2.984444444444444,2.218726688542438,-0.7657177559020059
333418,53593.0,114.57,39.83,2015,2,23,-9.867222222222225,-6.567334358255635,3.2998878639665894
306740,53499.0,114.73,40.77,2014,9,13,17.76722222222223,16.268308454734477,-1.4989137674877533
89313,53697.0,114.83,38.03,2006,5,4,20.50611111111111,21.46851620277833,0.9624050916672218
61750,58026.0,118.02,34.4,2004,1,23,-4.341111111111114,-4.763236189678209,-0.4221250785670962
403013,54818.0,116.42,36.25,2017,2,24,2.568333333333332,2.53463204210208,-0.0337012912312526
376301,54811.0,116.62,36.93,2016,8,10,34.892434068575646,37.597265135800775,2.704831067225129
255165,53985.0,113.82,35.5,2012,4,28,19.47111111111111,18.08496132109068,-1.3861497900204365
56828,54910.0,116.05,35.82,2004,7,16,24.852222222222213,25.09817228966559,0.2459500674433705
229005,54429.0,117.95,40.2,2011,4,22,10.39722222222222,11.534946149843623,1.1377239276214048
311269,53898.0,114.13,36.05,2014,7,16,31.11987185913553,27.83662823367072,-3.283243625464813
147969,53894.0,114.2,36.4,2008,9,3,25.064444444444447,24.80896332664637,-0.255481117798066
213355,54842.0,120.0,36.78,2010,11,9,4.207222222222218,5.72375433635797,1.5165321141357522
223832,53786.0,113.33,37.08,2011,9,23,9.994444444444444,10.235294119354602,0.2408496749101605
84630,58003.0,115.88,34.95,2005,4,9,7.636111111111108,8.889120804702744,1.2530096935916344
406118,54911.0,116.4,35.93,2017,5,31,26.02277777777777,25.036321424943758,-0.9864563528340148
307289,53594.0,114.18,39.45,2014,6,12,21.18444444444445,19.446550562980608,-1.7378938814638438
188135,54911.0,116.4,35.93,2009,1,22,-1.930555555555556,-0.2931768033035121,1.6373787522520438
147334,53883.0,114.7,37.13,2008,4,22,14.148333333333332,12.518334734549017,-1.6299985987843169
152371,54514.0,116.25,39.87,2008,7,15,23.863888888888887,26.733005251399742,2.869116362510852
360808,53590.0,114.27,39.75,2016,6,5,17.763333333333346,17.686767558033107,-0.0765657753002386
297269,54819.0,116.8,36.18,2013,5,29,20.78944444444445,20.546714127888567,-0.2427303165558818
947,53499.0,114.73,40.77,2003,7,30,21.322777777777787,23.435232132505927,2.11245435472814
265218,54714.0,116.33,37.45,2012,6,26,26.86,26.096334052924124,-0.7636659470758786
436086,58011.0,116.07,34.8,2018,6,24,29.209984531500627,30.56274130249515,1.3527567709945278
422826,54541.0,119.23,39.9,2018,12,21,1.8697777777777784,-0.1611068291671629,-2.030884606944941
259867,54520.0,117.08,39.97,2012,12,6,-10.987777777777774,-9.69335625688496,1.294421520892815
431398,54849.0,120.03,36.22,2018,4,19,17.718611111111112,18.09525519318088,0.3766440820697596
