,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
313050,54401.0,114.92,40.77,2014,11,30,-8.218332414809309,-7.864249294628414,0.3540831201808929
215012,54912.0,116.5,35.77,2010,4,12,5.6544873897968975,6.282921446462219,0.6284340566653226
230930,54514.0,116.25,39.87,2011,1,31,-7.789912514909434,-5.903883613697313,1.8860289012121232
45263,54525.0,117.28,39.73,2004,5,23,21.6517365023412,23.830835519670607,2.1790990173294027
484909,57089.0,113.93,34.07,2020,5,29,28.880595531496464,29.470531331570395,0.5899358000739383
215367,54917.0,116.33,35.13,2010,3,25,3.6078618029812217,4.216393713736018,0.6085319107547962
36660,53698.0,114.35,38.07,2004,12,20,-7.157674369876567,-8.483149530835115,-1.325475160958549
425487,54700.0,115.93,38.03,2018,3,18,1.3725423089483213,1.939136815910452,0.5665945069621305
468228,53986.0,113.88,35.32,2020,1,6,0.2767230878712015,-0.0129176175854692,-0.2896407054566707
451307,54704.0,115.57,37.52,2019,8,27,33.867207482083934,31.750697661732808,-2.116509820351112
278082,53486.0,113.77,40.37,2013,11,12,-3.701491088216338,-3.884514436012241,-0.1830233477959026
323309,54810.0,116.27,36.87,2014,5,8,19.01593449291955,18.456964575162424,-0.5589699177571177
435961,58007.0,115.3,34.07,2018,1,28,-8.625756316877375,-6.922136613252401,1.7036197036249745
483944,54936.0,118.83,35.57,2020,4,15,15.24802479489599,17.266693875331814,2.0186690804358243
317753,54604.0,115.33,38.42,2014,12,14,-4.292222644764689,-4.666439751336684,-0.3742171065719946
5957,53890.0,114.1,36.67,2003,5,4,22.73098354733373,24.41279568595769,1.6818121386239646
330264,58008.0,115.33,34.47,2014,4,11,12.552223650921698,14.724777218141565,2.1725535672198646
323254,54809.0,115.28,36.55,2014,10,23,22.437138663882788,19.675541698220588,-2.7615969656622004
177620,54525.0,117.28,39.73,2009,3,17,9.586486714104131,9.428214643075174,-0.1582720710289571
82197,54917.0,116.33,35.13,2005,9,4,24.559145521708874,25.579759390784,1.020613869075124
194780,53681.0,113.37,38.83,2010,7,1,23.066830763350072,24.42214101582304,1.3553102524729717
388563,53797.0,114.38,37.28,2017,1,15,-7.5959980165444065,-7.536165356672474,0.0598326598719323
447421,54520.0,117.08,39.97,2019,8,29,25.24401593486371,26.473354779129163,1.2293388442654454
331149,58026.0,118.02,34.4,2014,5,13,26.10680007855073,25.214673808563905,-0.8921262699868215
73212,54597.0,115.73,39.73,2005,4,6,16.625706017725236,16.061847686376066,-0.5638583313491701
175244,54429.0,117.95,40.2,2009,6,4,26.932180510109895,27.445174459223967,0.5129939491140618
102771,54709.0,116.07,37.23,2006,1,23,-3.81134994148108,-4.679848161239197,-0.8684982197581168
161706,54852.0,120.73,36.97,2008,10,17,19.44705816395621,20.53870988247448,1.0916517185182713
218395,58006.0,115.88,34.38,2010,6,21,33.455142098068855,35.65778715401221,2.202645055943364
460387,57191.0,114.47,34.52,2019,7,5,36.61082319410673,38.16814300615013,1.5573198120433958
293591,54709.0,116.07,37.23,2013,4,9,4.362228659837234,6.545599214927361,2.183370555090128
103716,54723.0,117.57,37.65,2006,11,25,4.82433083118524,1.873818572004667,-2.9505122591805737
402210,54806.0,115.97,36.42,2017,7,19,40.91993604816306,42.94077585764367,2.0208398094806057
131500,54714.0,116.33,37.45,2007,9,28,19.96699908340296,19.014279026378823,-0.9527200570241304
50362,54716.0,116.8,37.67,2004,3,20,4.838437825117541,4.468529847025686,-0.3699079780918541
80231,54836.0,118.17,36.18,2005,6,12,31.458313788790623,31.16595860663016,-0.2923551821604668
293105,54703.0,115.88,37.8,2013,3,29,3.000899113726013,3.375780792429609,0.3748816787035958
44666,54517.0,117.2,39.07,2004,1,16,-7.33685641317753,-6.24118324993043,1.0956731632471
291058,54611.0,115.32,38.93,2013,10,30,7.642021361266707,7.790018894161395,0.1479975328946867
353201,54857.0,120.33,36.07,2015,11,30,1.7782631472592334,0.2408348159356737,-1.5374283313235595
163364,54922.0,117.75,35.87,2008,5,6,25.71614702615535,25.539226481394053,-0.1769205447613053
239911,54821.0,117.2,37.0,2011,4,15,17.830097566585938,18.99881511045903,1.1687175438730932
310429,53886.0,113.67,36.57,2014,4,11,9.94946157181097,14.207741569195822,4.25827999738485
184442,54806.0,115.97,36.42,2009,9,17,27.397220517842943,26.524591931359588,-0.8726285864833551
137552,54907.0,116.65,34.98,2007,11,16,3.7520572632291858,2.3982870998665544,-1.3537701633626318
22728,54812.0,116.72,36.73,2003,11,3,7.595281271208298,7.938915364256578,0.3436340930482808
304574,58017.0,116.13,34.25,2013,11,7,11.03847488185472,8.885087649515809,-2.153387232338911
192047,58022.0,117.57,34.75,2009,12,8,6.593734641419298,4.4341806186592105,-2.1595540227600862
