,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
466102,53795.0,114.4,37.65,2020,9,13,17.692904789250267,17.779110192409448,0.0862054031591768
452798,54731.0,118.22,37.48,2019,3,8,2.24581599080191,1.8748549807636048,-0.3709610100383056
314231,54431.0,116.75,39.85,2014,9,9,18.75791373866504,19.300665059666468,0.542751321001429
323841,54819.0,116.8,36.18,2014,6,30,22.511978250410262,22.52221004964787,0.0102317992376121
30683,57099.0,114.85,34.07,2003,10,17,8.481529044150989,9.705570430493015,1.2240413863420263
276207,58016.0,116.97,34.18,2012,2,3,-7.389418019780845,-5.325320984706198,2.0640970350746466
258480,54454.0,120.3,40.33,2012,3,30,0.6047806837319532,-6.000564420212692,-6.605345103944647
13867,54531.0,118.72,39.73,2003,2,15,-1.1106867333601729,-1.5776291274895304,-0.4669423941293576
177180,54518.0,116.4,39.17,2009,6,26,23.05170512522476,24.650041178422413,1.5983360531976558
111152,54932.0,118.65,35.77,2006,4,11,7.816437094912293,8.44456538851572,0.6281282936034271
142738,58035.0,118.35,34.33,2007,8,27,24.40594611710486,22.156715837104805,-2.2492302800000488
348257,54723.0,117.57,37.65,2015,2,3,-6.032628815795981,-5.6000784225417455,0.4325503932542336
137139,54902.0,115.15,35.95,2007,6,22,20.241849541329067,19.519509029614927,-0.7223405117141439
221005,53492.0,114.15,40.1,2011,11,28,-6.208912802985729,-5.650769081114478,0.5581437218712519
445261,54424.0,117.12,40.17,2019,3,31,3.0483716616597123,0.8313619536151499,-2.2170097080445625
329230,57091.0,114.3,34.78,2014,5,3,10.937968230064662,10.142139829447316,-0.7958284006173475
323672,54817.0,115.87,35.98,2014,6,19,20.655667143371943,19.183143061611823,-1.4725240817601168
435392,57099.0,114.85,34.07,2018,1,29,-7.336759785566755,-6.9208033691731785,0.4159564163935743
260462,54529.0,117.82,39.35,2012,10,10,8.316141826428849,9.72340129828256,1.407259471853708
182139,54715.0,116.52,37.32,2009,1,30,-9.048405476864264,-7.188863138594408,1.8595423382698568
40897,53994.0,114.07,35.38,2004,12,2,-9.045380529426929,-4.633261394370673,4.412119135056254
400524,54725.0,117.53,37.5,2017,6,22,18.146400914109453,18.33625226336661,0.1898513492571503
123292,54405.0,115.5,40.42,2007,2,10,-8.685490231842497,-6.4050805592158895,2.2804096726266074
454360,54811.0,116.62,36.93,2019,5,7,10.225730912232626,11.70176158987532,1.476030677642692
76452,54717.0,116.4,37.63,2005,8,2,24.05671554982701,22.46307008303641,-1.5936454667906117
362552,53784.0,114.78,37.75,2016,10,18,11.719030832579849,13.083381078793126,1.3643502462132808
457670,54913.0,116.82,35.75,2019,5,4,12.0472369525849,15.31332197491635,3.2660850223314526
215813,54923.0,117.93,35.72,2010,10,25,2.5591856496126555,1.2672922774504258,-1.2918933721622297
175618,54436.0,118.95,40.42,2009,8,1,21.57797725614798,21.0875724346076,-0.490404821540384
266428,54732.0,118.52,37.87,2012,3,28,6.364415678273832,7.1682120197987125,0.8037963415248806
478005,54731.0,118.22,37.48,2020,7,16,24.08044527265032,23.420722831888494,-0.6597224407618221
7333,53983.0,114.42,35.03,2003,5,15,10.182492742447378,15.620726154198849,5.438233411751467
263058,54621.0,115.18,38.18,2012,2,7,-10.863194649555838,-10.39658210274409,0.4666125468117493
265015,54712.0,116.82,37.2,2012,4,10,6.998277325219908,9.7456776135572,2.747400288337292
91303,53883.0,114.7,37.13,2006,11,7,4.2532466536465785,3.370319425306172,-0.8829272283404066
253799,53890.0,114.1,36.67,2012,4,7,11.236899175890398,13.058659415801351,1.8217602399109545
108569,54848.0,119.42,35.98,2006,11,13,2.7614264300548017,1.6156297585740198,-1.145796671480782
321671,54728.0,117.35,37.77,2014,5,12,13.73602272160481,14.221019046989994,0.4849963253851861
76746,54723.0,117.57,37.65,2005,9,20,11.935763984765869,11.773247836855802,-0.1625161479100665
383391,58021.0,117.28,34.78,2016,1,31,-11.383696753999734,-10.303300383349503,1.0803963706502309
128305,54606.0,115.73,38.23,2007,4,13,8.281975431222786,6.8859243710517415,-1.396051060171045
339319,54304.0,115.27,40.95,2015,1,17,-18.2409993720024,-15.400584079728729,2.840415292273672
388793,53878.0,113.38,36.52,2017,6,18,18.133552195432863,17.55291423367149,-0.5806379617613722
57012,54912.0,116.5,35.77,2004,9,7,12.592979899212086,14.256124783365117,1.6631448841530323
415668,53880.0,113.23,36.33,2018,8,17,15.795536567094238,17.927988749807714,2.132452182713476
483062,54916.0,116.85,35.57,2020,4,11,4.01827839938787,3.944886620529044,-0.0733917788588258
371826,54619.0,116.92,38.92,2016,4,1,12.490670586699808,11.103986892288756,-1.3866836944110528
68447,53992.0,114.52,35.65,2005,4,24,12.718996140322814,13.10066333667208,0.3816671963492659
21435,54755.0,120.38,37.33,2003,7,4,17.20206794825374,18.84833600491945,1.6462680566657042
166484,58025.0,117.73,34.57,2008,7,2,23.109386093091302,23.933528431573357,0.8241423384820443
115293,58038.0,118.78,34.08,2006,10,31,14.064514886157925,12.134645026211286,-1.92986985994664
429445,54817.0,115.87,35.98,2018,4,8,7.004923615186378,7.840479172708548,0.8355555575221691
112284,57086.0,113.72,34.38,2006,4,30,20.72025031796189,16.477632667562467,-4.242617650399428
349616,54759.0,120.85,37.32,2015,9,10,14.29235589263493,14.206473515222108,-0.0858823774128225
289791,54535.0,118.47,39.28,2013,8,15,26.488173232263566,25.031712756015853,-1.4564604762477131
