,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
167488,53498.0,115.03,40.57,2009,8,1,23.1,22.78419358473023,-0.3158064152697726
11287,54453.0,120.97,40.87,2003,4,18,9.5,8.348368161743812,-1.151631838256188
353509,54939.0,118.82,35.17,2015,4,22,17.5,19.50671570303508,2.006715703035073
225374,53983.0,114.42,35.03,2011,10,17,16.1,16.54977132156739,0.4497713215673897
183229,54759.0,120.85,37.32,2009,1,28,3.7,3.965775154410151,0.265775154410151
123019,54405.0,115.5,40.42,2007,3,9,0.6,1.1152391113920042,0.5152391113920042
359237,53688.0,114.55,38.42,2016,10,18,15.7,16.623770172377412,0.923770172377413
106577,54819.0,116.8,36.18,2006,2,7,-3.5,-2.4386787248110893,1.0613212751889107
27293,54914.0,116.08,35.42,2003,7,4,25.3,25.02085395477127,-0.2791460452287317
150964,54453.0,120.97,40.87,2008,11,17,-3.5,-2.450072662232821,1.049927337767179
328260,58007.0,115.3,34.07,2014,10,5,21.7,19.90657660908569,-1.7934233909143131
397523,54715.0,116.52,37.32,2017,9,10,21.8,22.07414398116552,0.274143981165512
466076,54398.0,116.62,40.13,2020,11,18,9.6,10.295740238039498,0.6957402380394981
196843,53885.0,113.2,36.12,2010,3,14,1.8,1.0627463270990758,-0.7372536729009243
480316,54922.0,117.75,35.87,2020,4,30,24.9,23.46758860284061,-1.4324113971593846
289765,54614.0,116.05,38.42,2013,3,21,6.4,5.982380155098264,-0.4176198449017363
404817,54935.0,118.43,35.53,2017,10,31,9.6,9.781135301888572,0.1811353018885722
358571,53590.0,114.27,39.75,2016,12,22,-6.8,-6.387771028342046,0.4122289716579539
253821,53986.0,113.88,35.32,2012,6,29,23.0,23.852684397636423,0.8526843976364233
100644,54617.0,116.17,38.2,2006,5,19,20.2,21.464129330276133,1.264129330276134
417706,54455.0,120.65,40.62,2018,11,8,4.4,2.6645836239337006,-1.7354163760662995
160231,54832.0,118.8,36.87,2008,4,15,19.0,18.35818359577036,-0.6418164042296404
172909,53994.0,114.07,35.38,2009,1,20,2.4,3.470892675075424,1.0708926750754235
180615,54703.0,115.88,37.8,2009,6,26,31.5,31.33525864643909,-0.1647413535609097
112655,57095.0,114.15,34.12,2006,7,6,26.9,26.39794352827775,-0.5020564717222484
193833,53680.0,114.38,38.3,2010,1,3,-5.9,-4.807548561395627,1.0924514386043738
376249,54853.0,120.42,36.17,2016,5,28,19.1,20.69482146716973,1.59482146716973
315551,54541.0,119.23,39.9,2014,3,18,9.2,10.083180774010955,0.8831807740109578
343439,54617.0,116.17,38.2,2015,7,6,25.6,25.4881590769296,-0.1118409230703996
319639,54724.0,117.13,37.32,2014,11,3,8.5,9.068595976944188,0.568595976944188
197252,53892.0,114.47,36.62,2010,6,26,29.0,27.55633777874708,-1.4436622212529215
312454,54431.0,116.75,39.85,2014,10,10,17.9,18.12945566371103,0.2294556637110325
45371,54527.0,117.05,39.08,2004,11,19,7.2,6.333935363302646,-0.8660646366973541
104673,54738.0,118.4,37.05,2006,8,7,27.6,27.266227321930103,-0.3337726780698986
108751,54855.0,120.38,36.4,2006,3,22,9.0,10.800710701362071,1.800710701362073
180460,54700.0,115.93,38.03,2009,3,19,12.3,10.395788062306892,-1.904211937693109
282041,53974.0,114.23,35.6,2013,7,10,24.4,26.95858179273729,2.5585817927372965
30929,58002.0,115.58,34.85,2003,5,4,19.8,18.20705616588438,-1.5929438341156192
185531,54834.0,118.28,36.87,2009,6,17,24.1,24.91955243425312,0.8195524342531186
55889,54853.0,120.42,36.17,2004,12,14,11.6,7.371788147790543,-4.228211852209457
35935,53689.0,115.07,38.02,2004,1,20,-2.8,-4.741386691924089,-1.9413866919240887
269822,54903.0,115.48,35.85,2012,10,16,15.1,15.858437774975792,0.7584377749757927
261180,54614.0,116.05,38.42,2012,5,22,22.8,21.58611144925846,-1.2138885507415402
25397,54848.0,119.42,35.98,2003,7,6,22.8,24.44155434184817,1.641554341848174
