,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
7627,53986.0,113.88,35.32,2003,2,20,1.2449095303824649,1.079766377685064,-0.165143152697401
391405,53997.0,114.18,35.15,2017,4,14,15.555040086331784,15.731145022636756,0.1761049363049736
181442,54704.0,115.57,37.52,2009,2,18,-1.7708738008019962,-1.68383365618884,0.0870401446131561
461208,58016.0,116.97,34.18,2019,9,7,21.40993305713524,21.265600000724174,-0.1443330564110674
178242,54535.0,118.47,39.28,2009,9,27,17.76144289876271,17.55978960948483,-0.2016532892778819
119277,53788.0,113.57,37.33,2007,11,7,1.0563961439178096,1.6453279344960574,0.5889317905782478
156897,54711.0,116.28,37.7,2008,4,10,10.445248978124942,9.782692137367398,-0.6625568407575457
439724,53688.0,114.55,38.42,2019,11,8,6.2538520805662445,7.704914188654293,1.451062108088048
219878,58038.0,118.78,34.08,2010,9,14,20.69742909747063,21.786753192082863,1.0893240946122376
136312,54843.0,119.2,36.75,2007,4,22,8.648466368406996,9.247850285466868,0.5993839170598694
68932,54304.0,115.27,40.95,2005,11,18,-6.711302974981611,-7.126552514257442,-0.4152495392758313
151936,54505.0,116.1,39.93,2008,1,7,-2.776527764756739,-3.6339034089493625,-0.8573756441926235
175366,54431.0,116.75,39.85,2009,12,2,-1.0013722391270754,0.3981886636494108,1.399560902776486
69578,54416.0,116.87,40.38,2005,5,29,18.011259942788477,17.12466538115639,-0.8865945616320836
93373,53989.0,113.98,35.08,2006,3,5,7.888101813842348,6.012739430111959,-1.875362383730388
249738,53584.0,113.17,39.57,2012,1,31,-10.212755394000247,-10.384076012887029,-0.1713206188867815
136004,54836.0,118.17,36.18,2007,10,30,4.6636701129251135,4.914664242221535,0.2509941292964193
369335,54521.0,116.98,39.7,2016,3,7,0.3920972065208818,1.6704261682801027,1.2783289617592208
373385,54708.0,115.73,37.5,2016,6,26,19.092331901136927,19.345606372834684,0.2532744716977611
442305,53890.0,114.1,36.67,2019,2,5,-2.15604472595448,-1.253729790347209,0.9023149356072708
341717,54502.0,116.03,39.48,2015,7,30,23.32510283830645,24.47441310395153,1.1493102656450738
126284,54518.0,116.4,39.17,2007,6,21,21.28922718486704,20.80083954832233,-0.4883876365447186
130474,54700.0,115.93,38.03,2007,1,9,-5.972950399183916,-5.634153570996268,0.3387968281876485
