,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
61239,58017.0,116.13,34.25,2004,8,5,27.200929438140715,28.09216725461737,0.8912378164766501
216993,57085.0,113.33,34.53,2010,7,2,29.85328462660236,29.56767289541405,-0.2856117311883111
405939,54909.0,115.52,35.08,2017,1,8,0.2069812170910949,0.0608870448195989,-0.146094172271496
249335,53492.0,114.15,40.1,2012,1,19,-8.547626355495495,-9.033186987758606,-0.4855606322631108
7252,53982.0,113.27,35.23,2003,6,21,28.956061273785835,30.02911923079515,1.0730579570093148
460397,58001.0,115.1,34.43,2019,9,19,20.738079828961567,20.10826275311793,-0.6298170758436292
483072,54916.0,116.85,35.57,2020,11,29,0.0460207735032488,0.7944950093639047,0.7484742358606559
464696,53693.0,114.13,38.03,2020,12,20,-2.720175414113272,-2.7625187128395283,-0.0423432987262559
368782,54511.0,116.47,39.8,2016,3,11,1.8488790758475304,0.5729949798185646,-1.2758840960289657
332261,53483.0,113.83,40.87,2015,10,9,1.3076567647842832,1.0208134523792036,-0.2868433124050795
418008,53995.0,114.5,35.55,2018,1,13,-5.302221273761098,-4.526654351469485,0.7755669222916124
226057,53899.0,114.97,36.48,2011,6,20,30.72630556791988,29.41544132202816,-1.310864245891718
240673,54831.0,118.5,36.65,2011,6,19,27.04003465620553,29.99608944432845,2.95605478812292
186349,54834.0,118.28,36.87,2009,9,21,16.412952007724854,18.167487084959685,1.7545350772348307
266194,54729.0,117.87,37.17,2012,2,2,-10.533888829886294,-10.357841219253167,0.1760476106331268
42274,54421.0,117.12,40.65,2004,4,15,20.95928322521079,16.4283878487938,-4.530895376416988
182105,54714.0,116.33,37.45,2009,3,25,4.57332995110788,5.181471689970365,0.6081417388624857
378023,54842.0,120.0,36.78,2016,1,17,-5.774379274347197,-6.311188065484205,-0.5368087911370072
404203,54835.0,118.55,36.5,2017,2,6,-5.0650875075404285,-2.8408281864328213,2.2242593211076067
288022,54510.0,116.95,39.92,2013,12,6,1.0716907490886398,-0.2652769651334677,-1.3369677142221077
49385,54703.0,115.88,37.8,2004,2,16,-0.6087087885214589,1.5245016405725695,2.1332104290940284
116734,53582.0,113.67,39.72,2007,9,2,16.557876962732575,18.27833693091994,1.720459968187367
441380,53795.0,114.4,37.65,2019,11,18,-1.221822590042854,0.574975710246458,1.7967983002893118
416734,53898.0,114.13,36.05,2018,2,16,2.325836337326854,2.0698631611378784,-0.2559731761889758
66293,53797.0,114.38,37.28,2005,7,2,27.270147268889623,28.41715011367628,1.1470028447866554
24912,54837.0,118.83,36.68,2003,8,12,27.35780568962324,25.765432978886896,-1.5923727107363457
182194,54716.0,116.8,37.67,2009,10,18,17.017016011717946,15.97689832841284,-1.0401176833051036
249281,53492.0,114.15,40.1,2012,7,22,24.09504566717302,25.529586966204437,1.4345412990314088
98777,54533.0,118.1,39.58,2006,10,31,14.68020288604309,14.591897620094471,-0.0883052659486196
96717,54502.0,116.03,39.48,2006,7,13,26.340152116706783,29.39491855789424,3.0547664411874504
53537,54817.0,115.87,35.98,2004,3,8,10.541823639432424,10.4099180980567,-0.1319055413757244
164830,57091.0,114.3,34.78,2008,8,27,28.63960426987154,27.57738931325,-1.062214956621542
373862,54715.0,116.52,37.32,2016,11,15,5.678458070062712,5.413556886563561,-0.2649011834991519
95711,54432.0,118.47,40.62,2006,12,24,-3.3008535297966755,0.6805006267597679,3.981354156556443
182715,54725.0,117.53,37.5,2009,11,5,10.967987514129048,9.667602629839356,-1.300384884289688
407905,57081.0,113.43,34.8,2017,11,20,7.816454501352347,5.999882986614133,-1.8165715147382155
187539,54902.0,115.15,35.95,2009,11,9,3.904653060624713,4.67498212978684,0.7703290691621271
263623,54632.0,115.03,37.07,2012,6,7,27.07260891562677,27.16843765310648,0.0958287374797066
325278,54843.0,119.2,36.75,2014,5,7,19.867506350927695,19.87372399115869,0.0062176402309894
384304,58044.0,119.23,34.55,2016,7,24,35.282832380680865,33.39757345097071,-1.8852589297101616
6761,53899.0,114.97,36.48,2003,1,30,-3.2547243807793564,-5.647315469571474,-2.392591088792118
462442,58047.0,119.23,34.25,2019,7,11,28.184055279894547,27.08812246301024,-1.0959328168843072
92720,53980.0,114.8,36.55,2006,12,10,-1.9991113024607663,-2.6639375048977456,-0.6648262024369793
184309,54804.0,115.18,36.3,2009,2,2,-0.9112520507878328,0.5904616400030196,1.5017136907908524
126678,54523.0,117.07,39.43,2007,9,17,24.119896281877303,23.450729811556005,-0.6691664703212972
459011,54945.0,119.55,35.47,2019,12,18,-1.0749533246742158,-1.3044790656364815,-0.229525740962266
68667,53995.0,114.5,35.55,2005,8,14,31.89086215678646,31.846649633003445,-0.0442125237830168
141494,58008.0,115.33,34.47,2007,7,23,24.86889147064531,26.23564615602817,1.3667546853828618
314711,54439.0,118.72,40.02,2014,2,9,-10.703649439579811,-9.699076905565269,1.0045725340145388
226815,53987.0,113.35,35.1,2011,12,24,1.2880802535911982,0.8113932830899871,-0.476686970501211
357304,58002.0,115.58,34.85,2015,5,4,19.01352192813789,17.075289250729323,-1.938232677408568
141762,58013.0,116.9,34.75,2007,8,18,27.616425744603177,27.830564038571712,0.2141382939685349
325076,54837.0,118.83,36.68,2014,2,24,6.792217245952218,5.780666396856506,-1.0115508490957108
364612,53898.0,114.13,36.05,2016,7,4,26.79106287203277,27.400420360908026,0.6093574888752507
425796,54704.0,115.57,37.52,2018,12,26,-6.692349200766658,-9.146055176856628,-2.45370597608997
187748,54905.0,115.93,35.58,2009,3,8,8.726904732682327,7.070362794827823,-1.656541937854505
42162,54420.0,117.33,40.93,2004,9,12,16.743190401052434,18.414411157210218,1.6712207561577868
415681,53880.0,113.23,36.33,2018,10,3,12.7076901122585,12.750506828671275,0.0428167164127746
