,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
270631,54851.0,120.57,36.9,2012,1,24,0.3998651180040817,1.1232767323901685,0.7234116143860867
324583,54830.0,117.93,36.82,2014,11,12,7.946758843584763,8.57501094893438,0.6282521053496177
34005,53484.0,113.15,40.45,2004,8,20,19.584109549653142,18.271162443216355,-1.3129471064367877
113837,58011.0,116.07,34.8,2006,1,10,7.325866273088772,6.621596510314487,-0.7042697627742847
267176,54759.0,120.85,37.32,2012,4,6,10.325437569953364,10.433234970200743,0.1077974002473798
324379,54828.0,117.68,36.23,2014,7,24,27.86485455758652,28.366611645090327,0.5017570875038082
287836,54505.0,116.1,39.93,2013,4,21,12.651583302206973,10.864897626562128,-1.7866856756448437
398355,54628.0,117.48,38.15,2017,1,20,1.4374622300507154,1.9249786101275497,0.4875163800768343
169678,53694.0,114.22,38.27,2009,9,30,24.30003946751388,23.597659939891614,-0.7023795276222629
142111,58021.0,117.28,34.78,2007,3,3,12.647344611713438,11.34075861351022,-1.306585998203218
182928,54728.0,117.35,37.77,2009,4,24,16.080720639073462,15.389684114879932,-0.6910365241935299
426467,54713.0,116.53,37.88,2018,2,24,5.016004634667024,5.972255664132638,0.9562510294656148
151881,54503.0,115.82,39.07,2008,2,17,4.307047169472827,4.212719756194857,-0.0943274132779699
340796,54432.0,118.47,40.62,2015,10,4,16.846423229801882,17.641240845763107,0.7948176159612217
174342,54406.0,115.97,40.45,2009,3,13,2.7592526418675134,3.9649376125025135,1.2056849706350006
338063,53981.0,113.27,35.78,2015,2,20,3.8961010074298574,5.702802828061455,1.8067018206315977
3620,53781.0,114.47,36.87,2003,2,3,5.97575980096249,5.638914871904587,-0.3368449290579019
166194,58017.0,116.13,34.25,2008,6,6,24.35616804405152,24.105750022723694,-0.2504180213278211
46254,54541.0,119.23,39.9,2004,4,20,14.922858310763209,18.117655075631344,3.194796764868137
420057,54438.0,118.88,39.88,2018,6,15,23.425814897390104,24.15694453715011,0.7311296397600024
108072,54837.0,118.83,36.68,2006,12,26,8.822913508552583,8.377893838674943,-0.4450196698776399
12506,54514.0,116.25,39.87,2003,4,12,14.186739432532285,15.66389061515685,1.4771511826245671
465535,53784.0,114.78,37.75,2020,2,25,10.43016329869227,9.992200538011462,-0.4379627606808096
4242,53789.0,114.63,37.88,2003,4,21,14.369539372934868,14.952014900405151,0.5824755274702849
190910,57191.0,114.47,34.52,2009,9,25,24.835628048550134,24.89602673181685,0.0603986832667082
165094,57096.0,114.78,34.53,2008,3,28,12.214468119876628,12.1749728186464,-0.0394953012302288
156526,54705.0,115.38,37.37,2008,6,14,26.953078355793384,26.066415209236908,-0.8866631465564794
351682,54829.0,117.87,36.77,2015,7,3,24.72397534385767,25.32327070915308,0.5992953652954078
155815,54632.0,115.03,37.07,2008,2,14,4.717924467649385,4.70030433062239,-0.017620137026995
390427,53982.0,113.27,35.23,2017,1,31,5.18331096929907,5.199975918394009,0.016664949094939
7770,53988.0,113.67,35.27,2003,8,28,27.83367995530869,26.75268250299766,-1.0809974523110275
41452,54401.0,114.92,40.77,2004,7,8,23.738033600992026,23.609730418339247,-0.1283031826527683
204808,54540.0,119.2,39.73,2010,11,1,10.261560509366207,11.067799929815166,0.8062394204489589
397387,54614.0,116.05,38.42,2017,3,8,7.198055575650168,7.552774323188553,0.354718747538385
423021,54597.0,115.73,39.73,2018,11,12,9.634490186378809,8.790438976156251,-0.8440512102225579
186159,54832.0,118.8,36.87,2009,2,3,5.75482640348009,6.242107626911709,0.4872812234316193
242490,54905.0,115.93,35.58,2011,8,20,24.77376957960041,24.817130719242467,0.0433611396420587
3801,53783.0,113.72,37.6,2003,5,20,17.786331469683212,17.76617826647287,-0.0201532032103415
349834,54802.0,115.73,36.82,2015,8,9,30.401553516353488,30.48359355740088,0.0820400410473887
402251,54806.0,115.97,36.42,2017,11,3,14.307227856415937,13.101618884453828,-1.205608971962107
391425,53997.0,114.18,35.15,2017,11,23,8.614218851587943,8.326804754757859,-0.2874140968300836
151752,54501.0,115.68,39.97,2008,5,12,13.337271106559738,13.733117017752967,0.3958459111932306
365986,53997.0,114.18,35.15,2016,11,9,10.630548255126484,10.437014035589774,-0.1935342195367102
76420,54716.0,116.8,37.67,2005,10,26,16.311476524467388,16.565533875779305,0.2540573513119177
138746,54925.0,117.68,35.5,2007,10,1,20.321589175308887,19.575992228728136,-0.7455969465807506
131446,54713.0,116.53,37.88,2007,9,20,23.27567220324881,22.60976939846491,-0.6659028047839044
