,id,SAT,WBT,ATin,ATout,ET,DI,MDI,HMI,NET,sWBGT,WCT,HI,year,month,day
631107,54437,7.1,3.500406117,6.585178804,4.419162549,8.18924,5.300203058,5.323304587,4.961776479,-0.125278975,10.38296941,5.534970591,5.458333333,2014,11,8
670034,54501,19.5,16.30979317,20.32825817,19.37296197,15.9812,17.90489658,19.64234488,23.25785188,13.67216979,21.58507028,20.10195226,19.43777778,2013,9,21
38162,53491,-2.7,-6.057703239,-3.309726362,-6.636842147,2.16156,-4.378851619,-5.569277429,-7.057459063,-9.589408626,3.256325181,-6.124410042,-5.791666667,2014,11,22
645022,54452,-8,-10.17060038,-8.482936139,-12.15903285,-0.9728,-9.085300191,-10.66795029,-13.10791375,-11.83030063,-0.279699557,-11.79531458,-12.11777778,2012,2,15
334321,53888,14.8,6.377065887,13.27823489,11.94175899,12.92992,10.58853294,10.40679942,11.6746431,8.120466896,14.05050142,14.49861688,13.01444444,2007,3,31
642867,54452,19.4,12.69270785,18.84133784,17.93585258,15.814088,16.04635393,16.89153089,19.63567803,12.90798824,19.03653531,19.94978444,18.6045,2020,6,1
1034116,54700,0.1,-0.831982192,0.010986162,-2.722830762,3.7036,-0.365991096,-0.585986644,-2.377059942,-8.989540246,6.174252552,-2.229612292,-1.484444444,2013,2,16
468570,53993,3.1,1.955353786,3.029604066,0.112276423,5.61712,2.527676893,2.64451534,1.275950266,-7.181554628,8.337238172,0.455115671,1.763333333,2004,12,2
895707,54609,-5.9,-8.773396243,-6.426263673,-9.601694248,0.238672,-7.336698121,-8.822047182,-10.69311577,-9.666421544,1.133710802,-8.688820711,-9.525777778,2019,2,7
169547,53694,19.5,18.64561458,21.27524338,21.14385762,16.0534,19.07280729,21.39421094,25.64898953,16.40226264,23.27673022,20.77343284,19.93388889,2006,7,26
33398,53490,6,3.743186874,5.783019197,3.530926542,7.4784,4.871593437,5.087390156,4.391623471,-1.843107205,10.13412066,4.329008711,4.64,2018,10,21
890423,54608,29.3,26.00863718,32.5634633,32.88151209,22.17444,27.65431859,30.64047788,41.18634482,25.72692528,32.89234125,31.66363713,34.89390768,2006,8,13
277562,53796,0.6,-3.324009089,-0.144138693,-3.152035176,4.19832,-1.362004544,-2.265006816,-3.4302502,-6.437818114,5.35891588,-2.328900367,-2.161666667,2012,12,3
1035987,54701,-3,-6.492125044,-3.682472402,-6.061793093,2.018,-4.746062522,-6.009093783,-7.601742815,-4.16728052,2.913401573,-3.903116014,-6.330555556,2008,1,31
18644,53486,18.2,9.891234976,16.96038439,15.26653126,15.02824,14.04561749,14.33442623,16.47387057,10.49034881,16.96821392,18.17306414,16.93722222,2020,5,6
365496,53894,0.1,-2.75617142,-0.368253978,-2.352594525,3.81448,-1.32808571,-2.029128565,-3.334641293,-2.567456204,5.496791758,-0.237652479,-2.215555556,2006,12,2
448379,53988,16.5,11.98075032,16.39732136,15.05847396,14.0586,14.24037516,15.25556274,17.30123642,9.848440434,17.79235133,16.4699849,15.79833333,2011,5,2
536397,54408,6,1.005599196,5.063207724,3.721552477,7.5344,3.502799598,3.034199397,2.574099504,3.344539552,8.848275617,5.997364459,3.726111111,2017,3,27
914293,54612,26.8,25.04720098,30.10118378,30.13398525,20.66464,25.92360049,28.96940074,38.27658904,23.43254484,31.18495102,28.77318327,30.05094588,2004,7,20
957828,54621,-2.9,-4.86517716,-3.171448352,-5.511862138,1.881772,-3.88258858,-4.75088287,-6.443707088,-6.285745634,3.718630899,-3.511010551,-5.2205,2020,1,13
302460,53880,10.5,7.217836808,10.25263698,9.355579073,10.31356,8.858918404,9.403377606,9.723908374,6.980296487,13.27443788,10.94760469,9.375888889,2018,10,15
26488,53488,3.2,1.10880645,2.934242946,-0.149051867,5.712464,2.154403225,2.047604838,0.902863438,-6.824582073,8.059243081,0.32722297,1.567833333,2019,4,9
509157,54399,24.5,21.84948169,26.65047693,27.30861539,19.164,23.17474084,25.69711127,32.60645424,22.23003588,27.49657924,26.47388116,25.09444444,2017,7,27
274762,53796,1,-2.417461022,0.400523929,-2.120432792,4.4056,-0.708730511,-1.433095767,-2.58417708,-5.067504584,5.901299563,-1.056300532,-1.434444444,2003,3,3
92225,53593,19.7,15.87573801,20.30607099,20.36851908,16.08772,17.78786901,19.39280351,22.93722924,16.23632976,21.33014499,21.06809584,19.52722222,2005,8,25
135199,53688,22.5,14.66049157,21.9175057,22.46864154,17.71,18.58024578,19.54536868,23.30170189,18.12460703,21.19468063,24.20342112,21.90222222,2008,5,20
602840,54431,24.2,19.35350827,25.21520272,24.38272975,18.88352,21.77675413,23.7111312,29.37928687,18.31938445,25.25559395,25.56329521,24.34666667,2004,6,23
421476,53983,-1.5,-4.512744491,-2.005117697,-3.841470634,2.8424,-3.006372246,-3.954558368,-5.350922185,-0.142121873,4.295085205,0.074758026,-4.132222222,2003,1,8
830728,54540,4.3,0.132739937,3.551295639,1.610905126,6.46828,2.216369969,1.733554953,1.005621488,-0.593223904,7.977423573,3.133808322,2.065,2005,11,19
785277,54528,21.7,19.0324517,23.17379818,23.25281652,17.38972,20.36622585,22.52033877,27.53224039,18.20866864,24.30003947,23.15927798,21.98833333,2006,9,17
256592,53791,22.8,19.02260787,24.01004463,22.87204057,18.04352,20.91130394,22.93095591,28.18846268,16.79087592,24.60977972,23.84550291,22.98944444,2015,5,29
806601,54532,18.9,13.51950492,18.77663242,18.10021129,15.53936,16.20975246,17.32162869,20.13379687,13.15917061,19.45917519,19.55048706,18.30777778,2015,9,26
279632,53797,27.2,18.35195495,26.97841969,27.50656336,20.60208,22.77597747,24.09996621,29.86240972,21.32428982,25.17597699,29.25038828,27.06591564,2015,6,2
512030,54399,1.9,-2.684387569,0.972204161,-1.287450763,5.02984,-0.392193785,-1.291290677,-2.331384495,-2.40931065,5.95371925,0.251536696,-0.966666667,2017,2,5
217204,53783,19,15.10286278,19.46522541,19.46156855,15.6448,17.05143139,18.54714708,21.74019416,15.50599721,20.58160721,20.29805847,18.73111111,2008,9,15
266533,53794,8.9,5.847844867,8.618020332,7.478745756,9.30964,7.373922434,7.76788365,7.713301337,4.97266088,12.07674541,9.026628713,7.647222222,2004,11,7
323206,53885,-1,-4.686987797,-1.694938682,-3.782671529,3.2152,-2.843493899,-3.895240848,-5.229220173,-2.380347087,4.310950445,-1.437883772,-3.947777778,2009,1,28
796604,54530,24.8,22.04148269,26.97628105,26.95089186,19.349456,23.42074135,25.95511202,33.03220965,20.79657463,27.75564751,26.47968642,25.40616667,2019,7,9
48768,53498,17.4,12.55388722,17.28582261,14.3594751,14.61464,14.97694361,16.02741541,18.35400208,8.775287503,18.41072856,16.78973077,16.73611111,2012,6,14
226376,53784,-0.8,-2.971375158,-1.122637555,-3.611670504,3.20896,-1.885687579,-2.532531369,-4.048759826,-6.8910224,5.117997459,-2.516275746,-2.944444444,2009,2,17
485033,53996,10.2,6.203329904,9.725683851,7.905439864,10.1248,8.201664952,8.528497428,8.790251724,3.315659956,12.65604433,9.185431955,8.842222222,2017,3,17
60920,53580,4,-0.318388252,3.202977257,1.233161143,6.2896,1.840805874,1.281208811,0.523017574,-0.746509423,7.678136646,2.791565499,1.656666667,2015,10,31
165190,53693,11.3,6.41323189,10.62687275,9.598702502,10.80704,8.856615945,9.103923917,9.610453701,6.739063471,13.08179542,11.32372967,9.843333333,2006,3,31
836854,54541,23.7,21.21548797,25.72501572,25.39437792,18.66388,22.45774398,24.91761598,31.32806468,19.26712284,26.70453262,25.14378996,24.24055556,2003,7,8
855571,54601,23.6,20.58279495,25.34535612,25.3538692,18.57888,22.09139748,24.40509622,30.5017242,19.5792564,26.13396798,25.15142996,24.02611111,2016,9,4
400759,53979,10.7,5.514104763,9.901897614,8.362452377,10.43344,8.107052382,8.201578572,8.573691477,4.656479894,12.43259892,9.995261284,9.078888889,2009,3,9
1036847,54701,21.8,13.55230635,20.96729472,21.20226793,17.26172,17.67615317,18.44822976,21.82851916,16.64864192,20.25077647,23.22320961,21.04083333,2018,5,9
676167,54502,-0.9,-3.490791178,-1.3094403,-4.191854818,3.1766,-2.195395589,-2.960093383,-4.388136757,-8.459218294,4.891945282,-3.52188738,-3.237222222,2005,3,1
549688,54416,-1.4,-5.147697993,-2.126668601,-5.101607819,2.98672,-3.273848997,-4.392773495,-5.790138217,-7.153304975,3.970305636,-4.232692317,-4.492222222,2010,12,6
969943,54623,5.5,0.665321615,4.594374411,2.738522192,7.2244,3.082660807,2.588991211,2.051795387,0.591847728,8.548996106,4.377855499,3.202222222,2019,2,24
453419,53989,26.3,22.9822248,28.60200549,29.18927772,20.274216,24.6411124,27.2306686,35.15266386,23.1363271,29.04510071,28.30911851,26.96477778,2018,8,28
114501,53681,18.2,15.32281073,18.93627919,19.40279926,15.16928,16.76140536,18.40810805,21.46300496,19.26778747,20.49788055,24.4313,18.06,2003,7,13
1013806,54636,29.4,26.10382688,32.69550032,33.54190938,22.23752,27.75191344,30.74987016,41.38743831,26.48677639,33.02056194,31.74450462,35.16284581,2009,7,21
700853,54510,25.8,21.96914122,27.69782436,27.61547669,19.93504,23.88457061,26.28085592,33.53110652,21.28375114,27.9681317,27.59085998,26.31555556,2004,6,26
819317,54535,-0.8,-3.682124837,-1.274864629,-3.620058754,3.2608,-2.241062419,-3.065593628,-4.433133188,-5.2286496,4.846064549,-2.147450998,-3.257777778,2017,11,19
283481,53797,11,7.994228246,10.86903473,10.08275885,10.6284,9.497114123,10.17567118,10.6188127,7.821536005,13.83732113,11.65554851,10.00944444,2004,10,23
207782,53781,24,19.5907106,25.17731685,25.02256077,18.7752,21.7953553,23.81303295,29.54822503,19.12700583,25.40320691,25.51415316,24.205,2013,6,5
42358,53492,15.9,9.586253752,15.11530075,14.22581886,13.6462,12.74312688,13.23169031,14.85793438,10.0823572,16.14806906,16.11145441,14.72055556,2017,5,23
435853,53986,26.1,23.10387871,28.51456019,28.15905472,20.16232,24.60193935,27.24590903,35.19646449,21.62480774,29.10418253,27.89897889,26.80222222,2012,6,26
