,id,lon,lat
0,53481,113.22,40.8
1,53483,113.83,40.87
2,53484,113.15,40.45
3,53486,113.77,40.37
4,53487,113.42,40.08
5,53488,113.58,40.03
6,53490,114.05,40.43
7,53491,114.38,40.68
8,53492,114.15,40.1
9,53498,115.03,40.57
10,53499,114.73,40.77
11,53580,113.1,39.82
12,53582,113.67,39.72
13,53584,113.17,39.57
14,53585,113.27,39.17
15,53590,114.27,39.75
16,53593,114.57,39.83
17,53594,114.18,39.45
18,53596,115.13,38.85
19,53599,114.68,39.37
20,53680,114.38,38.3
21,53681,113.37,38.83
22,53682,114.68,38.63
23,53685,113.42,38.07
24,53687,113.63,37.78
25,53688,114.55,38.42
26,53689,115.07,38.02
27,53690,114.18,38.85
28,53691,114.57,38.15
29,53692,114.98,38.73
30,53693,114.13,38.03
31,53694,114.22,38.27
32,53695,114.68,38.35
33,53696,115.02,38.55
34,53697,114.83,38.03
35,53698,114.35,38.07
36,53699,114.95,38.18
37,53773,114.62,36.33
38,53780,113.15,37.9
39,53781,114.47,36.87
40,53782,113.62,37.93
41,53783,113.72,37.6
42,53784,114.78,37.75
43,53785,114.67,37.52
44,53786,113.33,37.08
45,53788,113.57,37.33
46,53789,114.63,37.88
47,53790,114.6,37.63
48,53791,114.5,37.8
49,53792,114.48,37.45
50,53794,114.75,37.35
51,53795,114.4,37.65
52,53796,114.88,37.62
53,53797,114.38,37.28
54,53798,114.37,37.18
55,53799,115,37.23
56,53878,113.38,36.52
57,53880,113.23,36.33
58,53882,113.03,36.07
59,53883,114.7,37.13
60,53884,113.03,36.52
61,53885,113.2,36.12
62,53886,113.67,36.57
63,53888,113.43,36.2
64,53889,113.87,36.07
65,53890,114.1,36.67
66,53891,114.68,37.02
67,53892,114.47,36.62
68,53893,114.95,36.77
69,53894,114.2,36.4
70,53895,114.45,36.75
71,53896,114.95,36.33
72,53897,114.35,36.4
73,53898,114.13,36.05
74,53899,114.97,36.48
75,53974,114.23,35.6
76,53979,113.08,35.15
77,53980,114.8,36.55
78,53981,113.27,35.78
79,53982,113.27,35.23
80,53983,114.42,35.03
81,53984,113.47,35.23
82,53985,113.82,35.5
83,53986,113.88,35.32
84,53987,113.35,35.1
85,53988,113.67,35.27
86,53989,113.98,35.08
87,53991,114.33,35.92
88,53992,114.52,35.65
89,53993,114.92,35.93
90,53994,114.07,35.38
91,53995,114.5,35.55
92,53996,114.65,36.45
93,53997,114.18,35.15
94,53998,114.65,35.2
95,54304,115.27,40.95
96,54398,116.62,40.13
97,54399,116.28,39.98
98,54401,114.92,40.77
99,54404,115.83,40.88
100,54405,115.5,40.42
101,54406,115.97,40.45
102,54408,115.22,40.38
103,54410,116.13,40.6
104,54412,116.63,40.73
105,54416,116.87,40.38
106,54419,116.63,40.37
107,54420,117.33,40.93
108,54421,117.12,40.65
109,54423,117.92,40.97
110,54424,117.12,40.17
111,54425,117.47,40.4
112,54428,117.4,40.03
113,54429,117.95,40.2
114,54430,118.22,40.78
115,54431,116.75,39.85
116,54432,118.47,40.62
117,54433,116.5,39.95
118,54434,118.33,40.17
119,54436,118.95,40.42
120,54437,118.62,39.5
121,54438,118.88,39.88
122,54439,118.72,40.02
123,54452,119.8,40.8
124,54453,120.97,40.87
125,54454,120.3,40.33
126,54455,120.65,40.62
127,54499,116.22,40.22
128,54501,115.68,39.97
129,54502,116.03,39.48
130,54503,115.82,39.07
131,54505,116.1,39.93
132,54506,115.95,39.32
133,54507,115.52,39.33
134,54510,116.95,39.92
135,54511,116.47,39.8
136,54512,116.28,39.42
137,54513,116.2,39.95
138,54514,116.25,39.87
139,54515,116.7,39.5
140,54517,117.2,39.07
141,54518,116.4,39.17
142,54519,116.48,39.3
143,54520,117.08,39.97
144,54521,116.98,39.7
145,54522,117.73,39.88
146,54523,117.07,39.43
147,54525,117.28,39.73
148,54526,117.33,39.08
149,54527,117.05,39.08
150,54528,117.13,39.23
151,54529,117.82,39.35
152,54530,117.77,39.23
153,54531,118.72,39.73
154,54532,118.08,39.8
155,54533,118.1,39.58
156,54534,118.1,39.65
157,54535,118.47,39.28
158,54539,118.88,39.43
159,54540,119.2,39.73
160,54541,119.23,39.9
161,54594,116.35,39.72
162,54596,116.2,39.77
163,54597,115.73,39.73
164,54601,115.65,38.98
165,54602,115.48,38.73
166,54603,115.77,38.72
167,54604,115.33,38.42
168,54605,115.93,38.93
169,54606,115.73,38.23
170,54607,115.12,38.72
171,54608,115.55,38
172,54609,115.58,38.23
173,54610,116.1,38.73
174,54611,115.32,38.93
175,54612,116.45,38.85
176,54613,116.62,38.7
177,54614,116.05,38.42
178,54615,116.85,38.58
179,54616,116.85,38.35
180,54617,116.17,38.2
181,54618,116.55,38.08
182,54619,116.92,38.92
183,54620,115.57,38.48
184,54621,115.18,38.18
185,54622,117.37,38.98
186,54623,117.72,39.05
187,54624,117.32,38.4
188,54626,115.82,38.42
189,54627,117.23,38.03
190,54628,117.48,38.15
191,54631,115.15,37.07
192,54632,115.03,37.07
193,54633,115.27,37.5
194,54636,116.1,39.02
195,54640,114.87,36.92
196,54644,117.12,38.05
197,54645,117.47,38.85
198,54700,115.93,38.03
199,54701,115.2,37.93
200,54702,115.7,37.73
201,54703,115.88,37.8
202,54704,115.57,37.52
203,54705,115.38,37.37
204,54706,115.67,37.08
205,54707,115.98,37.35
206,54708,115.73,37.5
207,54709,116.07,37.23
208,54710,116.17,37.87
209,54711,116.28,37.7
210,54712,116.82,37.2
211,54713,116.53,37.88
212,54714,116.33,37.45
213,54715,116.52,37.32
214,54716,116.8,37.67
215,54717,116.4,37.63
216,54718,116.47,37.15
217,54719,116.68,38.03
218,54722,117.63,37.75
219,54723,117.57,37.65
220,54724,117.13,37.32
221,54725,117.53,37.5
222,54726,117.18,37.7
223,54727,117.55,36.68
224,54728,117.35,37.77
225,54729,117.87,37.17
226,54730,118.13,37.7
227,54731,118.22,37.48
228,54732,118.52,37.87
229,54734,118,37.35
230,54736,118.67,37.43
231,54737,118.15,37.15
232,54738,118.4,37.05
233,54744,118.55,37.58
234,54749,119.95,37.18
235,54752,120.77,37.8
236,54753,120.33,37.63
237,54755,120.38,37.33
238,54759,120.85,37.32
239,54800,115.25,37
240,54801,115.48,36.85
241,54802,115.73,36.82
242,54803,116.02,36.98
243,54804,115.18,36.3
244,54805,115.47,36.45
245,54806,115.97,36.42
246,54807,115.77,36.15
247,54808,115.63,36.23
248,54809,115.28,36.55
249,54810,116.27,36.87
250,54811,116.62,36.93
251,54812,116.72,36.73
252,54814,116.25,36.53
253,54815,116.27,36.38
254,54816,116.8,36.52
